Rank,Error Message,Snippet IDs
176,"mismatched input '(' expecting {';', NL}","['35743893_3', '43341622_1', '44982437_0', '45614208_5', '47240561_0', '48630389_0', '48861734_1', '48916054_0', '49026384_0', '49409209_0', '49449474_2', '49449474_4', '50454133_0', '51336428_0', '51573782_0', '51601751_0', '51811011_1', '51811011_2', '51811011_3', '51664226_0', '52582875_0', '52690481_1', '53268261_1', '53630226_0', '53622973_0', '53791299_2', '54611665_0', '55249896_1', '55398634_1', '55982661_0', '56353779_0', '56352718_0', '57394922_0', '58375121_0', '59122598_1', '59713819_1', '59713819_3', '61146681_3', '61278166_1', '62098161_0', '62211729_0', '62493511_0', '63463340_1', '63463340_2', '64429572_5', '63652317_0', '64951267_0', '65352645_0', '65813919_0', '66145387_1', '66455820_0', '66506012_0', '66665626_1', '66928012_0', '66930517_0', '66797992_0', '67036739_1', '67031948_0', '67269419_0', '67239017_4', '67292530_0', '67464855_1', '67858437_0', '67942961_2', '68049580_1', '68241377_1', '68432609_4', '68445567_0', '68721621_0', '68776326_1', '68875147_0', '68810515_0', '68917603_1', '68950996_0', '69025408_0', '69025408_1', '69050570_0', '69099317_0', '69105424_0', '69269849_1', '69165981_0', '69332569_0', '69535334_1', '69684493_0', '69823891_4', '69907715_0', '69974761_3', '70017509_0', '70088614_0', '70076943_0', '70322339_0', '70399988_1', '70488829_1', '70527000_2', '70505253_0', '70514336_1', '70549883_0', '70585228_0', '70600305_0', '70674359_19', '70804128_2', '70804128_3', '70833677_0', '70970426_1', '71009134_0', '71152833_2', '71170701_3', '71245575_1', '71245575_3', '71341935_0', '71343732_1', '71450598_1', '71471252_0', '71474596_0', '71518895_0', '71553813_0', '71560492_0', '71564754_0', '71576780_0', '71646658_0', '71646915_1', '71767046_2', '71876607_0', '71908238_0', '71946498_3', '72084829_0', '72174048_0', '72164534_0', '72253221_0', '72242118_0', '72356857_4', '72356857_5', '72356857_10', '72368733_0', '72384572_0', '72421775_1', '72516393_0', '72546375_1', '72584559_6', '72584559_8', '72719985_0', '72719985_1', '72769319_2', '72818685_1', '72820012_1', '72855570_0', '72892760_0', '72909871_2', '72909871_4', '72909871_9', '72925509_1', '73004750_0', '73014541_0', '73042237_0', '73053421_2', '73061154_0', '73171353_2', '73232746_0', '73249245_1', '73268988_1', '73272138_0', '73338985_0', '73344261_4', '73386259_1', '73434613_1', '73456725_0', '73456725_2', '73480903_1', '73536755_0', '73577793_0', '73664623_0', '73670446_1', '73789100_0', '73812170_0', '73842617_0', '73917319_1']"
175,"extraneous input '}' expecting {<EOF>, 'pragma', '~', 'import', 'from', 'abstract', 'contract', 'interface', 'library', '(', 'error', 'struct', 'function', 'enum', '[', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'leave', 'payable', 'type', 'constructor', 'fallback', 'receive', Identifier, StringLiteralFragment}","['43341622_1', '44991977_0', '44982437_0', '47993204_0', '46466792_0', '48065343_3', '48362797_2', '48861734_1', '49426625_0', '49449474_2', '49051856_2', '49613580_0', '49793487_0', '49992356_0', '49851273_0', '50887478_1', '50928036_2', '51226875_0', '51601751_0', '51811011_0', '51811011_1', '51664226_0', '51663786_1', '52285392_0', '53135401_0', '53308858_0', '53200164_0', '53190441_0', '53622973_0', '53941422_9', '54503984_0', '54611665_0', '54856879_2', '54845472_1', '54904028_0', '55140341_1', '55345063_1', '55572357_4', '55883448_2', '56333361_0', '56564742_0', '57354628_1', '58471891_0', '58605003_0', '58956054_0', '62669838_0', '63018930_0', '63463340_0', '64236628_0', '64546452_1', '65235689_0', '66173249_0', '66455820_0', '66645883_0', '66611544_0', '66831960_0', '67349342_1', '67409550_1', '67433473_1', '67356893_0', '67460613_1', '67464855_2', '67590652_0', '67765614_0', '67781596_0', '67814500_0', '67884846_1', '68022495_0', '68032495_2', '67881834_0', '68111308_0', '68128905_0', '68314316_0', '68403746_0', '68424735_0', '68512757_0', '68477946_0', '68485435_0', '68930866_0', '68986989_1', '69025408_0', '69061349_2', '69122158_0', '69193257_1', '69232462_0', '69171562_1', '69344345_0', '69526003_0', '69962351_0', '70020697_0', '70076943_0', '70143451_0', '70139247_2', '70148672_1', '70159846_0', '70163422_0', '70180939_1', '70189923_2', '70224098_0', '70330907_0', '70381453_0', '70399988_1', '70544815_0', '70549883_0', '70559362_0', '70585228_0', '70657767_0', '70667370_4', '70674359_19', '70731710_1', '70742940_0', '70804128_2', '70907172_0', '70986854_1', '70998818_1', '71156719_0', '71207911_0', '71213040_0', '71212707_0', '71212707_1', '71263095_0', '71317192_0', '71371357_0', '71405290_1', '71432001_0', '71471252_0', '71542788_1', '71639540_2', '71646570_1', '71655507_0', '71693698_0', '71684130_1', '71701027_0', '71792535_1', '71821179_0', '71820678_0', '71854087_0', '71876607_0', '71887614_0', '71993838_0', '72062858_0', '72067457_1', '72112736_0', '72193697_1', '72222191_1', '72253221_0', '72250726_0', '72368733_0', '72414002_0', '72414002_1', '72622910_0', '72719985_0', '72719985_1', '72769139_0', '72840701_0', '72890487_0', '72892965_1', '72895860_1', '72925509_0', '72965653_0', '72983307_3', '73004750_0', '73014541_3', '73024354_1', '73051928_0', '73093035_0', '73272138_0', '73329915_0', '73508643_1', '73522448_0', '73536042_0', '73616714_0', '73670446_1', '73789100_0', '73821810_0']"
85,"extraneous input '{' expecting {';', NL}","['44991977_0', '44982437_0', '47993204_0', '48343868_0', '48362797_2', '48861734_1', '49793487_0', '50928036_2', '51601751_0', '51663786_1', '52285392_0', '53135401_0', '53308858_0', '53200164_0', '54856879_2', '54845472_1', '55572357_4', '56564742_0', '58471891_0', '58956054_0', '62970535_2', '63463340_0', '64236628_0', '64546452_1', '64003066_1', '65800835_0', '65800835_1', '65800835_2', '66173249_0', '67349342_1', '67356893_0', '67765614_0', '67781596_0', '67796286_0', '67871713_1', '68032495_2', '68111308_0', '68128905_0', '68314316_0', '68403746_0', '68512757_0', '69061349_2', '69171562_1', '69688857_3', '69877319_1', '69962351_0', '70020697_0', '70143451_0', '70180939_1', '70189923_2', '70330907_0', '70585228_0', '70666107_0', '70920485_0', '70846917_0', '71156719_0', '71207911_0', '71213040_0', '71263095_0', '71317192_0', '71405290_1', '71471252_0', '71655507_0', '71821179_0', '71908238_0', '72062858_0', '72067457_1', '72222191_1', '72250726_0', '72339724_0', '72369941_0', '72414002_0', '72414002_1', '72622910_0', '72719985_1', '72769139_0', '72840701_0', '72892965_1', '73014541_3', '73329915_0', '73508643_1', '73522448_0', '73536042_0', '73597585_0', '73616714_0']"
48,"extraneous input '.' expecting {<EOF>, 'pragma', '~', 'import', 'from', '}', 'abstract', 'contract', 'interface', 'library', '(', 'error', 'using', 'struct', 'modifier', 'function', 'event', 'enum', '[', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'leave', 'payable', 'type', 'constructor', 'fallback', 'receive', Identifier, StringLiteralFragment}","['46299286_0', '47788702_0', '48446912_2', '49959824_0', '49959824_1', '50604141_0', '50902250_0', '52652813_0', '54749158_1', '55965813_1', '60569808_5', '63170366_0', '63835302_0', '65208750_0', '67296964_1', '67291908_1', '67439769_2', '67684106_0', '67853438_0', '67853438_4', '68468838_0', '68555009_0', '69038786_0', '69193257_1', '69244846_3', '69325713_0', '69805685_0', '69805685_1', '69888515_1', '70063009_0', '70246295_0', '70483592_0', '70825721_0', '70887688_0', '71214540_0', '71295165_0', '71295165_1', '71510931_0', '71589805_1', '71708142_0', '71737241_1', '71839712_0', '72224409_0', '72467052_0', '72790377_0', '73332925_0', '73532819_0', '73590946_0']"
44,"mismatched input ':' expecting {'=', ';', NL}","['50566843_1', '53135401_0', '63587065_1', '65766289_0', '66796408_0', '66797992_0', '67303288_0', '67709521_1', '67858933_3', '68163319_0', '68432609_4', '68507885_1', '68507885_3', '68484713_1', '69314742_0', '69754900_0', '69927808_0', '69927808_1', '70459922_0', '70704418_2', '70869079_1', '70952409_0', '71035790_0', '71148454_2', '71181866_0', '71225313_0', '71258898_0', '71354756_1', '71624208_2', '71746449_0', '71869681_1', '72093394_2', '72375394_1', '72409031_1', '72554752_1', '72560937_0', '72769319_2', '73099574_0', '73177126_0', '73364556_0', '73443077_0', '73667305_19', '73888188_0', '73894872_1']"
37,"mismatched input '(' expecting {'=', ';', NL}","['47662768_0', '47530664_1', '48362797_2', '54878426_0', '55198169_0', '58711371_0', '58711371_1', '62778277_1', '64951267_0', '66526184_0', '66903031_0', '68049580_1', '68061351_1', '68128905_1', '68314316_0', '69688857_3', '70250166_0', '70327285_0', '70533031_0', '70603320_2', '70704418_1', '70706328_0', '70729665_2', '70833677_0', '71325598_0', '71343732_1', '71639967_0', '71767046_2', '72516393_0', '72584559_5', '72719985_1', '73272138_0', '73344261_4', '73434613_1', '73533018_0', '73756010_0', '73917319_1']"
34,"mismatched input ')' expecting {';', NL}","['47971193_1', '47993204_0', '48343868_0', '49051856_2', '50887478_1', '54845472_1', '55598440_1', '59713819_2', '62669838_0', '65670482_1', '67493677_2', '68058473_0', '68985070_0', '69440832_0', '69877319_1', '69907715_0', '70159846_0', '70180939_1', '71263095_0', '71389974_0', '71820678_0', '71839712_2', '72033880_1', '72214005_0', '72369941_0', '72546375_1', '72584559_2', '72750985_1', '72909871_5', '73014541_3', '73024354_1', '73434613_1', '73525695_1', '73917319_1']"
33,"extraneous input ')' expecting {'=', ';', NL}","['47240561_0', '49409209_0', '53268261_1', '53876848_0', '54106709_0', '56353779_0', '57394922_0', '58150023_0', '59122598_1', '62098161_0', '62211729_0', '63652317_0', '66506012_0', '67239017_4', '67464855_1', '68417684_1', '68422733_1', '68656074_0', '69400366_0', '69678541_1', '69684493_0', '69823891_4', '70017509_0', '70531502_1', '71341935_0', '71952469_0', '72164534_0', '72368733_0', '73042237_0', '73061154_0', '73171353_2', '73577793_0', '73756010_0']"
31,"extraneous input '.' expecting {<EOF>, 'pragma', '~', 'import', 'from', '{', '}', 'abstract', 'contract', 'interface', 'library', '(', 'error', 'using', 'for', 'struct', 'modifier', 'function', 'event', 'enum', '[', 'address', 'mapping', 'calldata', 'if', 'else', 'try', 'while', 'unchecked', 'assembly', 'do', 'return', 'throw', 'emit', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'break', 'continue', 'leave', 'payable', 'type', 'constructor', 'fallback', 'receive', Identifier, StringLiteralFragment, NL}","['46561759_1', '47247602_0', '48521106_0', '48898355_2', '49959824_1', '51601751_1', '55383179_1', '55965813_1', '57788496_0', '58942534_0', '63835302_0', '65982067_1', '67099783_0', '67684106_1', '68104963_0', '69888515_1', '70825721_0', '70849420_0', '70849420_1', '70968242_1', '71180839_0', '71372569_1', '71524372_2', '71766016_0', '71914346_2', '71914346_3', '72246049_0', '72640726_0', '73135449_0', '73352720_0', '73939886_0']"
30,"mismatched input '.' expecting {'=', ';', NL}","['46561759_1', '63587065_1', '66455820_0', '66544513_0', '67303288_0', '68241377_1', '69099317_0', '69193257_1', '69165981_0', '69302335_1', '69688857_3', '69927808_1', '70399988_1', '70452624_1', '70545978_0', '70876767_4', '70998818_1', '71181866_0', '71450598_1', '71471252_0', '71624208_2', '71646570_1', '72409031_1', '72850880_0', '72892760_0', '73099574_0', '73177126_0', '73344261_4', '73522448_0', '73532819_0']"
