Rank,Error Message,Snippet IDs
72,"extraneous input '}' expecting {<EOF>, 'pragma', 'import', 'from', 'abstract', 'contract', 'interface', 'library', 'error', 'using', 'struct', 'modifier', 'function', 'event', 'enum', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', 'callback', Int, Uint, Byte, Fixed, Ufixed, 'leave', 'payable', 'constructor', 'fallback', 'receive', Identifier}","['44991977_0', '45614208_5', '47911527_0', '46466792_0', '48362797_2', '49613580_0', '49851273_0', '51336428_0', '51811011_0', '51811011_1', '53190441_0', '53622973_0', '53941422_9', '55345063_1', '55883448_2', '56333361_0', '63018930_0', '64236628_0', '66455820_0', '66831960_0', '67464855_2', '67765614_0', '67781596_0', '67814500_0', '68022495_0', '67881834_0', '68111308_0', '68128905_0', '68512757_0', '68477946_0', '68485435_0', '68939469_0', '68991900_0', '69122158_0', '69193257_1', '69526003_0', '69805685_3', '70163422_0', '70250166_0', '70381453_0', '70643149_3', '70657767_0', '70696685_0', '70742940_0', '71405290_1', '71542788_1', '71639967_0', '71646570_1', '71820678_0', '71854087_0', '71887614_0', '72112736_0', '72222191_1', '72369941_0', '72368733_0', '72414002_0', '72607997_0', '72719985_1', '72925509_0', '73051928_0', '73093035_0', '73522448_0', '74211293_0', '74241846_0', '74745504_1', '74877091_0', '75030483_0', '75157442_4', '75184640_1', '75304549_0', '75350233_1', '76043242_0']"
68,"mismatched input '(' expecting {';', NL}","['48916054_0', '49449474_2', '49449474_4', '49709000_4', '51336428_0', '51573782_0', '51811011_1', '51811011_2', '51811011_3', '52690481_1', '53630226_0', '55398634_1', '55598440_1', '55982661_0', '56352718_0', '56627763_1', '60247222_3', '65670482_1', '65766289_0', '66455820_0', '66665626_1', '66928012_0', '66930517_0', '67031948_0', '67292530_0', '68240564_0', '68721621_0', '69025408_0', '69025408_1', '69269849_1', '69332569_0', '70189327_0', '70322339_0', '70674359_19', '70833677_0', '71009134_0', '71389974_0', '71553813_0', '71564754_0', '71576780_0', '71628337_0', '71869681_1', '71908238_0', '72093394_2', '72253221_0', '72242118_0', '72458692_0', '72584559_2', '72584559_7', '72719985_0', '72719985_1', '72750985_1', '72855570_0', '72925509_1', '73014541_0', '73272138_0', '73434613_0', '73536755_0', '73670446_1', '73812170_0', '73930583_0', '74386781_0', '74584443_0', '74668649_1', '74696804_2', '74823503_1', '75201065_0', '76505638_0']"
58,"extraneous input '.' expecting {<EOF>, 'pragma', 'import', 'from', '}', 'abstract', 'contract', 'interface', 'library', 'error', 'using', 'struct', 'modifier', 'function', 'event', 'enum', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', 'callback', Int, Uint, Byte, Fixed, Ufixed, 'leave', 'payable', 'constructor', 'fallback', 'receive', Identifier}","['46299286_0', '47788702_0', '48446912_2', '49266401_0', '49959824_0', '49959824_1', '50604141_0', '50902250_0', '52652813_0', '54749158_1', '55965813_1', '63170366_0', '63835302_0', '65208750_0', '67296964_1', '67291908_1', '67439769_2', '67684106_0', '67853438_0', '67853438_4', '68468838_0', '68555009_0', '69038786_0', '69193257_1', '69244846_3', '69325713_0', '69805685_0', '69805685_1', '69888515_1', '70063009_0', '70246295_0', '70483592_0', '70825721_0', '70887688_0', '71214540_0', '71295165_0', '71295165_1', '71510931_0', '71589805_1', '71708142_0', '71737241_1', '71839712_0', '72224409_0', '72467052_0', '72790377_0', '73332925_0', '73532819_0', '73590946_0', '74439838_0', '74661829_0', '74842000_1', '74962781_0', '75168668_0', '75193722_1', '75441413_0', '76233380_0', '76505638_0', '76544630_1']"
41,no viable alternative at input 'TypeError:',"['47945401_1', '51571610_1', '54320320_1', '54327213_1', '56505629_2', '59345097_0', '62391718_1', '65670482_1', '66118102_1', '67461127_1', '68526748_0', '68561131_2', '68597706_0', '68736257_0', '69009602_1', '69779613_0', '69931208_1', '70011797_0', '70128297_0', '70139247_0', '70139247_1', '70364713_2', '71093531_1', '71093531_2', '71069193_1', '71375518_1', '71794345_0', '71914346_0', '72441366_2', '73755971_0', '73843001_0', '73950635_0', '73956278_0', '74169965_1', '74661829_2', '74661829_4', '74745504_1', '75142898_1', '75860464_1', '75933374_0', '76546452_0']"
35,"extraneous input '.' expecting {<EOF>, 'pragma', 'import', 'from', '}', 'abstract', 'contract', 'interface', 'library', 'error', 'using', 'struct', 'modifier', 'function', 'event', 'enum', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', 'callback', Int, Uint, Byte, Fixed, Ufixed, 'leave', 'payable', 'constructor', 'fallback', 'receive', Identifier, NL}","['49266401_0', '49959824_0', '49959824_1', '50819979_5', '52685530_2', '54412333_1', '54348232_0', '57324912_3', '57324912_4', '68287550_0', '69325713_0', '69725746_0', '69846856_0', '70255949_1', '70679521_0', '70800623_0', '71045594_1', '71180839_0', '71372569_1', '71524372_3', '71737241_1', '71893853_1', '72253221_0', '72253221_1', '72685626_0', '72790377_0', '74213205_0', '74213205_1', '74661829_0', '74745504_0', '74745504_1', '75168668_0', '76058810_1', '76233380_0', '76496409_0']"
31,"mismatched input '.' expecting {'=', ';', NL}","['46561759_1', '51336428_0', '55598440_1', '57690326_2', '57690326_3', '63018930_0', '64236628_0', '65670482_1', '66455820_0', '67356893_0', '67765614_0', '68240564_0', '69193257_1', '69302335_1', '70189327_0', '70998818_1', '71389974_0', '71405290_1', '71646570_1', '71869681_1', '72093394_2', '72222191_1', '72584559_2', '72750985_1', '73272138_0', '73434613_0', '73522448_0', '73532819_0', '73536755_0', '74764798_0', '74987758_0']"
24,"mismatched input '(' expecting {'=', ';', NL}","['47662768_0', '47911527_0', '48362797_2', '49709000_4', '51336428_0', '62669838_0', '65766289_0', '66526184_0', '67765614_0', '68240564_0', '68964131_0', '69302335_1', '70250166_0', '70327285_0', '70603320_2', '70833677_0', '71389974_0', '71639967_0', '72222191_1', '72584559_2', '72719985_1', '72925509_0', '73272138_0', '73533018_0']"
24,no viable alternative at input 'Error:',"['55598440_1', '59379024_0', '63052231_0', '63735070_0', '66959912_0', '67940448_1', '68046512_1', '68329839_2', '68686998_1', '70628127_0', '71282915_0', '71524372_0', '72093394_2', '73318573_2', '73803325_1', '74094913_0', '74534202_1', '74969232_3', '75179443_0', '75191914_2', '75717962_0', '76222899_1', '76376503_2', '76527201_2']"
20,"extraneous input '.' expecting {<EOF>, 'pragma', 'import', 'from', 'abstract', 'contract', 'interface', 'library', 'error', 'using', 'struct', 'modifier', 'function', 'event', 'enum', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', 'callback', Int, Uint, Byte, Fixed, Ufixed, 'leave', 'payable', 'constructor', 'fallback', 'receive', Identifier}","['47971193_0', '48630389_0', '53553868_1', '60569808_7', '61448898_0', '62098161_0', '66617876_3', '67356893_0', '69200464_0', '69277866_1', '69700895_0', '70679521_0', '70825721_0', '70907649_0', '71324180_1', '72253221_0', '72253221_1', '72790377_0', '73426593_0', '73591498_1']"
20,"mismatched input 'public' expecting {'from', 'error', 'memory', 'storage', 'calldata', 'revert', 'callback', 'leave', 'payable', 'constructor', 'receive', Identifier}","['52113202_3', '62160431_0', '65673817_0', '68032495_1', '68656074_0', '69061349_2', '70189327_0', '70322339_0', '70387515_0', '70400649_0', '70846917_0', '71716481_0', '72855570_0', '72911119_0', '73155222_1', '73237205_3', '73930583_0', '74344071_0', '74730493_0', '75714365_0']"
