N-gram Similarity,Levenshtein Similarity,Contract Address,File Path
100.00,71.69,0xbe5E48CF41b0634B7E5794777895aEcb0643F012,smart-contract-sanctuary-ethereum/contracts/mainnet/be/be5E48CF41b0634B7E5794777895aEcb0643F012_CAFE.sol
100.00,97.58,0x5011df01895b88f6c52811307e02021f9906c978,smart-contract-sanctuary-ethereum/contracts/mainnet/50/5011df01895b88f6c52811307e02021f9906c978_SolidFactory.sol
100.00,88.46,0x1fd154b4d0e3753b714b511a53fe1fb72dc7ae1c,smart-contract-sanctuary-ethereum/contracts/mainnet/1f/1fd154b4d0e3753b714b511a53fe1fb72dc7ae1c_SWDAO.sol
100.00,88.46,0x8dca21c5c8165886ea1fa800ff9321ec74fde2c0,smart-contract-sanctuary-ethereum/contracts/mainnet/8d/8dca21c5c8165886ea1fa800ff9321ec74fde2c0_SWCapital.sol
100.00,71.69,0x9f8710150d77712531db8c616b10ef90c63b52fc,smart-contract-sanctuary-ethereum/contracts/mainnet/9f/9f8710150d77712531db8c616b10ef90c63b52fc_CAFE.sol
100.00,71.69,0xef9c41eb3b5c9d778b9fccb0d059cf2ad2a13ece,smart-contract-sanctuary-ethereum/contracts/mainnet/ef/ef9c41eb3b5c9d778b9fccb0d059cf2ad2a13ece_CAFE.sol
100.00,70.37,0xCdF7028ceAB81fA0C6971208e83fa7872994beE5,smart-contract-sanctuary-ethereum/contracts/mainnet/cd/CdF7028ceAB81fA0C6971208e83fa7872994beE5_T.sol
100.00,87.88,0x363b2deac84f0100d63c7427335f8350f596bf59,smart-contract-sanctuary-ethereum/contracts/mainnet/36/363b2deac84f0100d63c7427335f8350f596bf59_xIMX.sol
100.00,97.58,0xe5085eb63ba62eb7edf609f63c2ce889cc122ea3,smart-contract-sanctuary-ethereum/contracts/mainnet/e5/e5085eb63ba62eb7edf609f63c2ce889cc122ea3_YieldTokenFactory.sol
100.00,70.37,0x1CCA7E410eE41739792eA0A24e00349Dd247680e,smart-contract-sanctuary-ethereum/contracts/mainnet/1c/1CCA7E410eE41739792eA0A24e00349Dd247680e_VendingMachine.sol
