N-gram Similarity,Levenshtein Similarity,Contract Address,File Path
100.00,80.24,0x614E4aCb31e32d858799A87C48A44f7312559187,smart-contract-sanctuary-ethereum/contracts/mainnet/61/614E4aCb31e32d858799A87C48A44f7312559187_RootAvatar.sol
100.00,83.09,0x0244e96e8b6B4d681c0E817E8f94BA30D04D7FBC,smart-contract-sanctuary-ethereum/contracts/mainnet/02/0244e96e8b6B4d681c0E817E8f94BA30D04D7FBC_Metarare.sol
100.00,80.24,0xBCbEaE3620b3280dF67143Ad7eC45d67C5A4355e,smart-contract-sanctuary-ethereum/contracts/mainnet/bc/BCbEaE3620b3280dF67143Ad7eC45d67C5A4355e_RootBonusPack.sol
100.00,80.24,0xdc403FCDf735426e77Fdd3bbD6223a3ac03eF3b3,smart-contract-sanctuary-ethereum/contracts/mainnet/dc/dc403FCDf735426e77Fdd3bbD6223a3ac03eF3b3_RootAvatar.sol
100.00,80.24,0x244FC4178fa685Af909c88b4D4CD7eB9127eDb0B,smart-contract-sanctuary-ethereum/contracts/mainnet/24/244FC4178fa685Af909c88b4D4CD7eB9127eDb0B_RootLand.sol
100.00,80.24,0xB95aBD5fa9E71f1981505c3D9A7800c369b0718c,smart-contract-sanctuary-ethereum/contracts/mainnet/b9/B95aBD5fa9E71f1981505c3D9A7800c369b0718c_RootTransport.sol
100.00,76.26,0x01234567bac6fF94d7E4f0EE23119CF848F93245,smart-contract-sanctuary-ethereum/contracts/mainnet/01/01234567bac6fF94d7E4f0EE23119CF848F93245_EthBlocks.sol
100.00,80.24,0x93AbBFFBC5172FDf30dA6c928F9a33622811BA13,smart-contract-sanctuary-ethereum/contracts/mainnet/93/93AbBFFBC5172FDf30dA6c928F9a33622811BA13_Breuning.sol
100.00,76.26,0xc8c6e3E3D13Ad492FA66cb77e082f6b9Db55c08f,smart-contract-sanctuary-ethereum/contracts/mainnet/c8/c8c6e3E3D13Ad492FA66cb77e082f6b9Db55c08f_Kn0wbot.sol
100.00,76.26,0x5180b83f2ff1eD7a78250EDBe36864dF630e0756,smart-contract-sanctuary-ethereum/contracts/mainnet/51/5180b83f2ff1eD7a78250EDBe36864dF630e0756_Strange.sol
100.00,80.24,0x777965bE9cd32c818f7f21573f7730f43B40f8Bd,smart-contract-sanctuary-ethereum/contracts/mainnet/77/777965bE9cd32c818f7f21573f7730f43B40f8Bd_HanhartTTT.sol
100.00,80.24,0x219f76E12aF773fe28F94a6e294201c2e200FB69,smart-contract-sanctuary-ethereum/contracts/mainnet/21/219f76E12aF773fe28F94a6e294201c2e200FB69_Bendzulla.sol
100.00,76.26,0x624180c153be43299d5F0905347A215c42D6f5a9,smart-contract-sanctuary-ethereum/contracts/mainnet/62/624180c153be43299d5F0905347A215c42D6f5a9_Pork1984ChapterII.sol
100.00,80.24,0x6c13354621f9FFfb386A1242eEb97d8340070c59,smart-contract-sanctuary-ethereum/contracts/mainnet/6c/6c13354621f9FFfb386A1242eEb97d8340070c59_NTokenFactory.sol
100.00,76.26,0xF2CF34a9928a6aB04881bfEaAC5BedB6d05Abc27,smart-contract-sanctuary-ethereum/contracts/mainnet/f2/F2CF34a9928a6aB04881bfEaAC5BedB6d05Abc27_DropERC721.sol
100.00,80.24,0xc1b05F8881C8a2182364228B8C9D1F899F16577C,smart-contract-sanctuary-ethereum/contracts/mainnet/c1/c1b05F8881C8a2182364228B8C9D1F899F16577C_UniqERC721.sol
100.00,80.24,0xB19E3E12854CE643f29B551c7F40cf0FA87341De,smart-contract-sanctuary-ethereum/contracts/mainnet/b1/B19E3E12854CE643f29B551c7F40cf0FA87341De_ERC721GenFactory.sol
100.00,80.24,0x35826BcC194C1C1dEA222a335C7a1C78173c703e,smart-contract-sanctuary-ethereum/contracts/mainnet/35/35826BcC194C1C1dEA222a335C7a1C78173c703e_UniqNFT.sol
