N-gram Similarity,Levenshtein Similarity,Contract Address,File Path
100.00,100.00,0xd65b541a514ceCD1e73D36cb05A076d6d2AA5CE9,smart-contract-sanctuary-ethereum/contracts/mainnet/d6/d65b541a514ceCD1e73D36cb05A076d6d2AA5CE9_Comet.sol
100.00,100.00,0x39e7124580378362b37a77FC95157bf1B4eFBa35,smart-contract-sanctuary-ethereum/contracts/mainnet/39/39e7124580378362b37a77FC95157bf1B4eFBa35_Dancer.sol
100.00,100.00,0xc2277D7584Cbb7734B8882ab73D90B95ecbFF556,smart-contract-sanctuary-ethereum/contracts/mainnet/c2/c2277D7584Cbb7734B8882ab73D90B95ecbFF556_Dancer.sol
100.00,100.00,0x5f5319b6A8bF5c26b6021CEB5f26d1f6fBc33FAf,smart-contract-sanctuary-ethereum/contracts/mainnet/5f/5f5319b6A8bF5c26b6021CEB5f26d1f6fBc33FAf_XanhMonoRegularLatin.sol
100.00,100.00,0x50C1803A4FF4Ed29568f8c123c2583a688BAF5A9,smart-contract-sanctuary-ethereum/contracts/mainnet/50/50C1803A4FF4Ed29568f8c123c2583a688BAF5A9_XanhMonoItalicLatin.sol
100.00,100.00,0xE6613052Ad9651F3eeD83De3449442894406cAA6,smart-contract-sanctuary-ethereum/contracts/mainnet/e6/E6613052Ad9651F3eeD83De3449442894406cAA6_DecentraBitcoin.sol
100.00,100.00,0x681f3b3CEEAE6F51bF55705c2397196bb1FC793C,smart-contract-sanctuary-ethereum/contracts/mainnet/68/681f3b3CEEAE6F51bF55705c2397196bb1FC793C_PUPPITOOLS.sol
100.00,100.00,0xe06c2e9f348aabe9611acb73e7d9347b650bedc1,smart-contract-sanctuary-ethereum/contracts/mainnet/e0/e06c2e9f348aabe9611acb73e7d9347b650bedc1_basicTipsy.sol
100.00,100.00,0x62e622ed539f9ee46da7855b652c40ce5d537362,smart-contract-sanctuary-ethereum/contracts/mainnet/62/62e622ed539f9ee46da7855b652c40ce5d537362_Notifier.sol
100.00,100.00,0x62D643faFa46cae0170E75eFc6dfB3AbA499e457,smart-contract-sanctuary-ethereum/contracts/mainnet/62/62D643faFa46cae0170E75eFc6dfB3AbA499e457_Metadata.sol
100.00,100.00,0xE7D2e051479f68E6084f774DECD3690829845295,smart-contract-sanctuary-ethereum/contracts/mainnet/e7/E7D2e051479f68E6084f774DECD3690829845295_Metadata.sol
